套装值：
0 ： 力量+100
1 ： 敏捷+100
2 ： 智力+100
3 ： 体力+100
4 ： 声望+100
5 ： 最小攻击力+50
6 ： 最大攻击力+50
7 ： 魔法攻击力增加+30%
8 ： 伤害+100
9 ： 攻击成功率+100
10： 防御力+100
11： 最大生命值+100
12： 最大魔法值+100
13： 最大技能值+100
14： 技能值恢复+100
15： 幸运一击+20%
16： 幸运一击伤害+100
17： 卓越一击+20%
18： 卓越一击伤害+100
19： 技能攻击力+50
20： 双倍伤害+20%
21： 无视对方防御率+10%
22： 使用盾时牌防御力增加+30%
23： 双手武器时伤害增加+35%

装备编码：
大类    小类    编号    名称
5    19    2579    风影之杖
5    20    2580    黑暗之仗
5    21    2581    火龙兽之书
5    22    2582    异灵之书
5    23    2583    污灵之书
5    30    2590    致命魔杖
5    31    2591    魔狱之杖
5    32    2592    绝望之仗
5    33    2593    多彩魔杖
5    34    2594    乌鸦魔杖
6    0    3072    圆盾
6    1    3073    战士之盾
6    2    3074    风之盾
6    3    3075    魔法之盾
6    4    3076    钢铁之盾
6    5    3077    龙之盾
6    6    3078    骷髅之盾
6    7    3079    尖刺之盾
6    8    3080    失落之盾
6    9    3081    远古之盾
6    10    3082    自由之盾
6    11    3083    毒蛇之盾
6    12    3084    布朗司
6    13    3085    火龙之盾
6    14    3086    传说之盾
6    15    3087    麒麟之盾
6    16    3088    精灵之盾
6    17    3089    荣誉之盾
6    18    3090    火蛇之盾
6    19    3091    寒冰之盾
6    20    3092    亡魂之盾
6    21    3093    十字架之盾
7    0    3584    青铜盔
7    1    3585    龙王之盔
7    2    3586    革盔
7    3    3587    传说之盔
7    4    3588    骷髅头盔
7    5    3589    皮盔
7    6    3590    翡翠盔
7    7    3591    魔王之盔
7    8    3592    黄金盔
7    9    3593    白金盔
7    10    3594    藤盔
7    11    3595    天蚕之盔
7    12    3596    风之盔
7    13    3597    精灵之盔
7    14    3598    女神之盔
7    16    3600    黑龙王之盔
7    17    3601    黑凤凰之盔
7    18    3602    火麒麟之盔
7    19    3603    圣灵之盔
7    21    3605    龙炎之盔
7    22    3606    黑炎之盔
7    24    3608    红羽之盔
7    25    3609    圣元之盔
7    26    3610    圣魂之盔
7    27    3611    神圣之盔
7    28    3612    至尊之盔
7    29    3613    暗黑斗神之盔
7    30    3614    法魂玄灵之盔
7    31    3615    紫灵之盔
7    33    3617    宙斯之盔
7    34    3618    暴风之盔
7    35    3619    幻月之盔
7    36    3620    碧影之盔
7    38    3622    圣光之盔
7    39    3623    飓风之盔
7    40    3624    红翼之盔
7    41    3625    远古之盔
7    42    3626    魔灵之盔
7    43    3627    风影之盔
7    44    3628    黑暗之盔
7    45    3629    泰坦之盔
7    46    3630    勇气之盔
7    49    3633    恐惧之盔
7    50    3634    灵光之盔
7    51    3635    霸王之盔
7    52    3636    冥王之盔
7    53    3637    绝望之盔
8    0    4096    青铜铠
8    1    4097    龙王之铠
8    2    4098    革铠
8    3    4099    传说之铠
8    4    4100    骷髅铠
8    5    4101    皮铠
8    6    4102    翡翠铠
8    7    4103    魔王之铠
8    8    4104    黄金铠
8    9    4105    白金铠
8    10    4106    藤铠
8    11    4107    天蚕之铠
8    12    4108    风之铠
8    13    4109    精灵之铠
8    14    4110    女神之铠
8    15    4111    亚特兰蒂斯之铠
8    16    4112    黑龙王之铠
8    17    4113    黑凤凰之铠
8    18    4114    火麒麟之铠
8    19    4115    圣灵之铠
8    20    4116    奔雷之铠
8    21    4117    龙炎之铠
8    22    4118    黑炎之铠
8    23    4119    魔神之铠
8    24    4120    红羽之铠
8    25    4121    圣元之铠
8    26    4122    圣魂之铠
8    27    4123    神圣之铠
8    28    4124    至尊之铠
8    29    4125    暗黑斗神之铠
8    30    4126    法魂玄灵之铠
8    31    4127    紫灵之铠
8    32    4128    天魔斗神之铠
8    33    4129    宙斯之铠
8    34    4130    暴风之铠
8    35    4131    幻月之铠
8    36    4132    碧影之铠
8    37    4133    烈火之铠
8    38    4134    圣光之铠
8    39    4135    飓风之铠
8    40    4136    红翼之铠
8    41    4137    远古之铠
8    42    4138    魔灵之铠
8    43    4139    风影之铠
8    44    4140    黑暗之凯
8    45    4141    泰坦之铠
8    46    4142    勇气之铠
8    47    4143    巨石之铠
8    48    4144    破灭之铠
8    49    4145    恐惧之铠
8    50    4146    灵光之铠
8    51    4147    霸王之铠
8    52    4148    冥王之铠
8    53    4149    绝望之凯
9    0    4608    青铜护腿
9    1    4609    龙王护腿
9    2    4610    革护腿
9    3    4611    传说之护腿
9    4    4612    骷髅护腿
9    5    4613    皮护腿
9    6    4614    翡翠护腿
9    7    4615    魔王之护腿
9    8    4616    黄金护腿
9    9    4617    白金护腿
9    10    4618    藤护腿
9    11    4619    天蚕之护腿
9    12    4620    风之护腿
9    13    4621    精灵之护腿
9    14    4622    女神之护腿
9    15    4623    亚特兰蒂斯之护腿
9    16    4624    黑龙王护腿
9    17    4625    黑凤凰护腿
9    18    4626    火麒麟护腿
9    19    4627    圣灵护腿
9    20    4628    奔雷护腿
9    21    4629    龙炎护腿
9    22    4630    黑炎护腿
9    23    4631    魔神护腿
9    24    4632    红羽护腿
9    25    4633    圣元护腿
9    26    4634    圣魂护腿
9    27    4635    神圣护腿
9    28    4636    至尊护腿
9    29    4637    暗黑斗神护腿
9    30    4638    法魂玄灵护腿
9    31    4639    紫灵护腿
9    32    4640    天魔斗神护腿
9    33    4641    宙斯护腿
9    34    4642    暴风护腿
9    35    4643    幻月护腿
9    36    4644    碧影护腿
9    37    4645    烈火护腿
9    38    4646    圣光护腿
9    39    4647    飓风之护腿
9    40    4648    红翼之护腿
9    41    4649    远古之护腿
9    42    4650    魔灵之护腿
9    43    4651    风影之护腿
9    44    4652    黑暗之护腿
9    45    4653    泰坦之护腿
9    46    4654    勇气之护腿
9    47    4655    巨石之护腿
9    48    4656    破灭之护腿
9    49    4657    恐惧之护腿
9    50    4658    灵光之护腿
9    51    4659    霸王之护腿
9    52    4660    冥王之护腿
9    53    4661    绝望之护腿
10    0    5120    青铜护手
10    1    5121    龙王护手
10    2    5122    革护手
10    3    5123    传说之护手
10    4    5124    骷髅护手
10    5    5125    皮护手
10    6    5126    翡翠护手
10    7    5127    魔王之护手
10    8    5128    黄金护手
10    9    5129    白金护手
10    10    5130    藤护手
10    11    5131    天蚕之护手
10    12    5132    风之护手
10    13    5133    精灵之护手
10    14    5134    女神之护手
10    15    5135    亚特兰蒂斯之护手
10    16    5136    黑龙王护手
10    17    5137    黑凤凰护手
10    18    5138    火麒麟护手
10    19    5139    圣灵护手
10    20    5140    奔雷护手
10    21    5141    龙炎护手
10    22    5142    黑炎护手
10    23    5143    魔神护手
10    24    5144    红羽护手
10    25    5145    圣元护手
10    26    5146    圣魂护手
10    27    5147    神圣护手
10    28    5148    至尊护手
10    29    5149    暗黑斗神护手
10    30    5150    法魂玄灵护手
10    31    5151    紫灵护手
10    32    5152    天魔斗神护手
10    33    5153    宙斯护手
10    34    5154    暴风护手
10    35    5155    幻月护手
10    36    5156    碧影护手
10    37    5157    烈火护手
10    38    5158    圣光护手
10    39    5159    飓风之护手
10    40    5160    红翼之护手
10    41    5161    远古之护手
10    42    5162    魔灵之护手
10    43    5163    风影之护手
10    44    5164    黑暗之护手
10    45    5165    泰坦之护手
10    46    5166    勇气之护手
10    47    5167    巨石之护手
10    48    5168    破灭之护手
10    49    5169    恐惧之护手
10    50    5170    灵光之护手
10    51    5171    霸王之护手
10    52    5172    冥王之护手
10    53    5173    绝望之护手
11    0    5632    青铜靴
11    1    5633    龙王之靴
11    2    5634    革靴
11    3    5635    传说之靴
11    4    5636    骷髅靴
11    5    5637    皮靴
11    6    5638    翡翠靴
11    7    5639    魔王之靴
11    8    5640    黄金靴
11    9    5641    白金靴
11    10    5642    藤靴
11    11    5643    天蚕之靴
11    12    5644    风之靴
11    13    5645    精灵之靴
11    14    5646    女神之靴
11    15    5647    亚特兰蒂斯之靴
11    16    5648    黑龙王之靴
11    17    5649    黑凤凰之靴
11    18    5650    火麒麟之靴
11    19    5651    圣灵之靴
11    20    5652    奔雷之靴
11    21    5653    龙炎之靴
11    22    5654    黑炎之靴
11    23    5655    魔神之靴
11    24    5656    红羽之靴
11    25    5657    圣元之靴
11    26    5658    圣魂之靴
11    27    5659    神圣之靴
11    28    5660    至尊之靴
11    29    5661    暗黑斗神之靴
11    30    5662    法魂玄灵之靴
11    31    5663    紫灵之靴
11    32    5664    天魔斗神之靴
11    33    5665    宙斯之靴
11    34    5666    暴风之靴
11    35    5667    幻月之靴
11    36    5668    碧影之靴
11    37    5669    烈火之靴
11    38    5670    圣光之靴
11    39    5671    飓风之靴
11    40    5672    红翼之靴
11    41    5673    远古之靴
11    42    5674    魔灵之靴
11    43    5675    风影之靴
11    44    5676    暗黑之靴
11    45    5677    泰坦之靴
11    46    5678    勇气之靴
11    47    5679    巨石之靴
11    48    5680    破灭之靴
11    49    5681    恐惧之靴
11    50    5682    灵光之靴
11    51    5683    霸王之靴
11    52    5684    冥王之靴
11    53    5685    绝望之靴
12    0    6144    精灵之翼
12    1    6145    天使之翼
12    2    6146    恶魔之翼
12    3    6147    圣灵之翼
12    4    6148    魔魂之翼
12    5    6149    飞龙之翼
12    6    6150    暗黑之翼
12    7    6151    霹雳回旋斩之石
12    8    6152    治疗之石
12    9    6153    防御之石
12    10    6154    攻击之石
12    11    6155    召唤之石
12    12    6156    雷霆裂闪之石
12    13    6157    钻云枪之石
12    14    6158    生命之光之石
12    15    6159    玛雅之石
12    16    6160    玄月斩之石
12    17    6161    穿透箭之石
12    18    6162    冰封箭之石
12    19    6163    袭风刺之石
12    21    6165    星云火链卷轴
12    22    6166    星云召唤卷轴
12    23    6167    致命圣印卷轴
12    24    6168    圣极光卷轴
12    26    6170    神秘珠子
12    30    6174    祝福石组合
12    31    6175    灵魂石组合
12    32    6176    红色圣诞箱
12    33    6177    绿色圣诞箱
12    34    6178    蓝色圣诞箱
12    35    6179    火舞旋风卷轴
12    36    6180    暴风之翼
12    37    6181    时空之翼
12    38    6182    幻影之翼
12    39    6183    破灭之翼
12    40    6184    帝王披风
12    41    6185    灾难之翼
12    42    6186    绝望之翼
12    43    6187    次元之翼
12    44    6188    破坏一击之石
12    45    6189    五重箭之石
12    46    6190    防护值恢复之石
12    47    6191    火剑袭之石
12    48    6192    黑暗之力卷轴
12    60    6204    荧之石（火）
12    61    6205    荧之石（水）
12    62    6206    荧之石（冰）
12    63    6207    荧之石（风）
12    64    6208    荧之石（雷）
12    65    6209    荧之石（土）
12    70    6214    光之石（一）
12    71    6215    光之石（二）
12    72    6216    光之石（三）
12    73    6217    光之石（四）
12    74    6218    光之石（五）
12    100    6244    荧光宝石（火）
12    101    6245    荧光宝石（水）
12    102    6246    荧光宝石（冰）
12    103    6247    荧光宝石（风）
12    104    6248    荧光宝石（雷）
12    105    6249    荧光宝石（土）
12    106    6250    荧光宝石2级（火）
12    107    6251    荧光宝石2级（水）
12    108    6252    荧光宝石2级（冰）
12    109    6253    荧光宝石2级（风）
12    110    6254    荧光宝石2级（雷）
12    111    6255    荧光宝石2级（土）
12    112    6256    荧光宝石3级（火）
12    113    6257    荧光宝石3级（水）
12    114    6258    荧光宝石3级（冰）
12    115    6259    荧光宝石3级（风）
12    116    6260    荧光宝石3级（雷）
12    117    6261    荧光宝石3级（土）
12    118    6262    荧光宝石4级（火）
12    119    6263    荧光宝石4级（水）
12    120    6264    荧光宝石4级（冰）
12    121    6265    荧光宝石4级（风）
12    122    6266    荧光宝石4级（雷）
12    123    6267    荧光宝石4级（土）
12    124    6268    荧光宝石5级（火）
12    125    6269    荧光宝石5级（水）
12    126    6270    荧光宝石5级（冰）
12    127    6271    荧光宝石5级（风）
12    128    6272    荧光宝石5级（雷）
12    129    6273    荧光宝石5级（土）
13    0    6656    守护天使
13    1    6657    小恶魔
13    2    6658    兽角
13    3    6659    彩云兽
13    4    6660    黑王马之角
13    5    6661    天鹰之爪
13    7    6663    召唤佣兵
13    8    6664    冰之指环
13    9    6665    毒之指环
13    10    6666    变身戒指
13    11    6667    复活石
13    12    6668    雷之项链
13    13    6669    火之项链
13    14    6670    洛克之羽
13    15    6671    果实
13    16    6672    血灵之书
13    17    6673    血灵之骷
13    18    6674    透明披风
13    19    6675    大天使之武器
13    20    6676    魔法戒指
13    21    6677    火之指环
13    22    6678    地之指环
13    23    6679    风之指环
13    24    6680    魔之指环
13    25    6681    冰之项链
13    26    6682    风之项链
13    27    6683    水之项链
13    28    6684    紫晶项链
13    29    6685    卫兵铠甲
13    30    6686    王者披风
13    31    6687    兽之灵魂
13    32    6688    破烂的铠甲片
13    33    6689    女神的灵智
13    34    6690    猛兽的脚甲
13    35    6691    碎角片
13    36    6692    折断的角
13    37    6693    炎狼兽之角
13    38    6694    悬石
13    39    6695    骷髅战士变身指环
13    40    6696    南瓜灯变身指环
13    41    6697    圣诞变身指环
13    42    6698    GM变身指环
13    43    6699    经验印章
13    44    6700    神圣印章
13    45    6701    贡献印章
13    46    6702    恶魔广场自由入场券
13    47    6703    血色城堡自由入场券
13    48    6704    卡利玛自由入场券
13    49    6705    旧卷纸
13    50    6706    幻影教药水
13    51    6707    血的卷纸
13    52    6708    神鹰火种
13    53    6709    神鹰之羽
13    54    6710    力量洗点果实
13    55    6711    敏捷洗点果实
13    56    6712    体力洗点果实
13    57    6713    智力洗点果实
13    58    6714    统率洗点果实
13    59    6715    移动印章
13    60    6716    免罪符
13    61    6717    幻影寺院自由入场券
13    62    6718    大师经验印章
13    63    6719    大师神圣印章
13    64    6720    强化恶魔
13    65    6721    强化天使
13    66    6722    圣诞之地入场券
13    67    6723    鲁道夫
13    68    6724    雪人变身指环
13    69    6725    复活符咒
13    70    6726    移动符咒
13    71    6727    剑/斧/枪
13    72    6728    杖(魔法师)
13    73    6729    弓/石弩
13    74    6730    权杖
13    75    6731    杖(召唤术师)
13    76    6732    熊猫变身指环
13    80    6736    熊猫
13    81    6737    守护符咒
13    82    6738    装备保护符咒
13    83    6739    恶魔之翼合成符咒
13    84    6740    天使之翼合成符咒
13    85    6741    精灵之翼合成符咒
13    86    6742    灾难之翼合成符咒
13    87    6743    王者披风合成符咒
13    88    6744    飞龙之翼合成符咒
13    89    6745    魔魂之翼合成符咒
13    90    6746    圣灵之翼合成符咒
13    91    6747    绝望之翼合成符咒
13    92    6748    暗黑之翼合成符咒
13    93    6749    大师等级经验印章
13    94    6750    大师等级神圣印章
13    95    6751    角斗士的荣誉
13    96    6752    强悍符咒
13    103    6759    组队经验值符咒
13    104    6760    最大AG提升光环
13    105    6761    最大SD提升光环
13    106    6762    独角兽
13    107    6763    致命魔法指环
13    122    6778    骨架变身指环
13    123    6779    幼龙骨架
13    125    6781    生魂广场自由入场券
13    126    6782    巴尔卡自由入场券
13    127    6783    巴尔卡7自由入场券
14    0    7168    苹果
14    1    7169    小瓶治疗药水
14    2    7170    中瓶治疗药水
14    3    7171    大瓶治疗药水
14    4    7172    小瓶魔力药水
14    5    7173    中瓶魔力药水
14    6    7174    大瓶魔力药水
14    7    7175    攻城药水
14    8    7176    解毒剂
14    9    7177    酒
14    10    7178    回城卷轴
14    11    7179    幸运宝箱
14    12    7180    心之记忆
14    13    7181    祝福宝石
14    14    7182    灵魂宝石
14    15    7183    金
14    16    7184    生命宝石
14    17    7185    恶魔之眼
14    18    7186    恶魔之钥
14    19    7187    恶魔广场通行证
14    20    7188    爱情的魔力
14    21    7189    奇迹通宝
14    22    7190    创造宝石
14    23    7191    帝王之书
14    24    7192    断魂之剑
14    25    7193    精灵之泪
14    26    7194    先知之魂
14    28    7196    失落的地图
14    29    7197    昆顿印记
14    31    7199    守护宝石
14    32    7200    粉红色宝箱
14    33    7201    红色宝箱
14    34    7202    蓝色宝箱
14    35    7203    小防护药水
14    36    7204    中防护药水
14    37    7205    大防护药水
14    38    7206    小生命圣水
14    39    7207    中生命圣水
14    40    7208    大生命圣水
14    41    7209    再生原石
14    42    7210    再生宝石
14    43    7211    初级进化宝石
14    44    7212    高级进化宝石
14    45    7213    幸运南瓜
14    46    7214    南瓜灯的祝福
14    47    7215    南瓜灯的愤怒
14    48    7216    南瓜灯的呐喊
14    49    7217    南瓜灯的食物
14    50    7218    南瓜灯的饮料
14    51    7219    圣诞之星
14    52    7220    GM礼物宝箱
14    53    7221    幸运符咒
14    54    7222    玛雅卡片
14    55    7223    绿色玛雅宝箱
14    56    7224    红色玛雅宝箱
14    57    7225    紫色玛雅宝箱
14    58    7226    宝物封印1
14    59    7227    宝物封印2
14    60    7228    宝物封印3
14    61    7229    宝物封印4
14    62    7230    宝物封印5
14    63    7231    爆竹
14    64    7232    诅咒之礼
14    65    7233    天魔菲尼斯的火种
14    66    7234    炽炎魔的角
14    67    7235    丛林召唤者的羽毛
14    68    7236    深渊之眼
14    70    7238    精华治疗药水
14    71    7239    精华魔力药水
14    72    7240    加速卷轴
14    73    7241    防御卷轴
14    74    7242    愤怒卷轴
14    75    7243    魔力卷轴
14    76    7244    体力卷轴
14    77    7245    魔法卷轴
14    78    7246    力量圣水
14    79    7247    敏捷圣水
14    80    7248    体力圣水
14    81    7249    智力圣水
14    82    7250    统率圣水
14    83    7251    宝物封印6
14    84    7252    樱花游戏箱
14    85    7253    樱花酒
14    86    7254    樱花饼
14    87    7255    樱花花瓣
14    88    7256    白色樱花树枝
14    89    7257    红色樱花树枝
14    90    7258    黄色樱花树枝
14    91    7259    召唤术师角色卡
14    92    7260    黄金玛雅卡片
14    93    7261    稀有玛雅卡片
14    94    7262    中型精华治疗药水
14    95    7263    迷你玛雅卡片
14    96    7264    合成保护符咒
14    97    7265    幸运一击卷轴
14    98    7266    卓越一击卷轴
14    99    7267    圣诞鞭炮
14    100    7268    农场种子
14    101    7269    奇怪的纸条
14    102    7270    凯文的指令
14    103    7271    希克拉碎片1
14    104    7272    希克拉碎片2
14    105    7273    希克拉碎片3
14    106    7274    希克拉碎片4
14    107    7275    希克拉碎片5
14    108    7276    希克拉碎片6
14    109    7277    完整的希克拉
14    110    7278    次元标识
14    111    7279    次元魔镜
14    133    7301    精华防护值药水
14    140    7308    恢复卷轴
14    141    7309    闪耀的宝石盒
14    142    7310    精炼的宝石盒
14    143    7311    铁制宝石盒
14    144    7312    陈旧的宝石盒
14    145    7313    稀有物品兑换票7
14    146    7314    稀有物品兑换票8
14    147    7315    稀有物品兑换票9
14    148    7316    稀有物品兑换票10
14    149    7317    稀有物品兑换票11
14    150    7318    稀有物品兑换票12
15    0    7680    毒咒术
15    1    7681    陨石术
15    2    7682    掌心雷术
15    3    7683    火球术
15    4    7684    火龙术
15    5    7685    瞬间移动术
15    6    7686    冰封术
15    7    7687    龙卷风术
15    8    7688    黑龙波术
15    9    7689    地狱火术
15    10    7690    真空波术
15    11    7691    极光术
15    12    7692    爆炎术
15    13    7693    毁灭烈焰术
15    14    7694    小挪移术
15    15    7695    守护之魂术
15    16    7696    单毒炎术
15    17    7697    暴风雪术
15    18    7698    星辰一怒术
15    19    7699    链雷咒羊皮纸
15    20    7700    摄魂咒羊皮纸
15    21    7701    烈光闪羊皮纸
15    22    7702    伤害反射羊皮纸
15    23    7703    狂暴术羊皮纸
15    24    7704    昏睡羊皮纸
15    26    7706    虚弱阵羊皮纸
15    27    7707    破御阵羊皮纸
15    28    7708    魔力强化法书
15    29    7709    闪电轰顶法书
